member_id,gender,age,prefecture_code,join_date,leave_date,member_rank,annual_spend,has_spouse,email_optin,registration_channel
M0000001,2,40,32,2010-03-06,,BRONZE,126118,1,1,WEB
M0000002,1,17,23,2014-01-06,,BRONZE,17148,0,0,PHONE
M0000003,2,31,46,2021-11-29,,BRONZE,17690,0,1,WEB
M0000004,2,35,33,2021-03-23,,BRONZE,66098,1,0,WEB
M0000005,1,47,23,2021-11-14,,GOLD,358919,1,1,STORE
M0000006,9,48,13,2013-09-27,,SILVER,116755,1,1,PHONE
M0000007,2,30,27,2013-12-27,,BRONZE,15449,0,1,WEB
M0000008,2,48,19,2013-05-07,2021-08-13,GOLD,463436,1,1,APP
M0000009,1,37,13,2021-02-18,,SILVER,105955,1,0,WEB
M0000010,2,41,11,2010-03-09,,SILVER,109128,1,1,WEB
M0000011,1,32,01,2023-01-11,,BRONZE,149362,1,1,PHONE
M0000012,2,58,33,2014-07-06,,PLATINUM,1443809,0,1,APP
M0000013,2,11,29,2017-10-23,,SILVER,189455,0,0,STORE
M0000014,2,42,17,2013-12-12,,GOLD,1082483,1,1,WEB
M0000015,1,67,40,2016-10-21,,GOLD,483398,1,1,STORE
M0000016,1,27,13,2022-03-25,,SILVER,213420,0,0,WEB
M0000017,2,40,03,2013-03-05,2016-05-07,BRONZE,146751,1,1,WEB
M0000018,1,18,27,2019-02-12,2023-04-29,SILVER,136706,0,1,APP
M0000019,2,68,28,2010-12-01,2012-04-25,BRONZE,87909,1,0,STORE
M0000020,2,39,45,2012-11-05,2020-04-10,PLATINUM,1708453,0,0,APP
M0000021,2,41,28,2020-12-13,,BRONZE,49608,1,0,WEB
M0000022,1,63,12,2019-02-03,,BRONZE,136288,0,1,APP
M0000023,9,51,03,2019-10-14,,SILVER,251447,1,0,PHONE
M0000024,2,25,26,2013-08-10,,SILVER,204124,0,1,PHONE
M0000025,2,29,11,2013-04-20,2018-02-02,SILVER,211363,0,0,WEB
M0000026,1,48,23,2016-10-22,2020-05-12,GOLD,568139,1,0,WEB
M0000027,2,29,13,2012-01-24,,GOLD,331037,0,1,STORE
M0000028,1,4,01,2024-03-18,,GOLD,266652,0,1,STORE
M0000029,1,39,14,2014-04-15,2020-09-05,SILVER,171838,0,0,APP
M0000030,2,15,23,2021-07-05,,SILVER,83753,0,1,WEB
M0000031,2,67,17,2012-07-05,,GOLD,256094,1,0,STORE
M0000032,9,43,13,2020-06-02,,BRONZE,128231,1,0,WEB
M0000033,1,25,28,2013-04-06,,BRONZE,34437,0,0,PHONE
M0000034,1,28,13,2014-07-03,,BRONZE,136894,1,1,WEB
M0000035,2,8,27,2016-08-04,,SILVER,326130,0,0,PHONE
M0000036,1,21,13,2011-12-30,2019-02-13,SILVER,322270,0,0,APP
M0000037,1,57,13,2011-12-30,,BRONZE,26413,0,1,WEB
