member_id,gender,age,prefecture_code,join_date,leave_date,member_rank,annual_spend,has_spouse,email_optin,registration_channel
M0000001,2,34,13,2018-04-12,,GOLD,420000,1,1,WEB
M0000002,1,28,27,2020-09-03,,SILVER,180000,0,1,APP
M0000003,2,45,14,2015-06-21,2022-03-15,BRONZE,52000,1,0,STORE
M0000004,1,52,13,2012-11-08,,PLATINUM,980000,1,1,WEB
M0000005,2,22,11,2023-01-19,,BRONZE,32000,0,1,APP
M0000006,1,67,40,2010-08-05,,GOLD,510000,1,0,STORE
M0000007,2,30,23,2019-05-30,,SILVER,210000,0,1,WEB
M0000008,9,41,13,2017-02-14,,BRONZE,75000,1,0,PHONE
M0000009,1,19,12,2024-07-02,,BRONZE,18000,0,1,APP
M0000010,2,58,27,2014-03-22,,PLATINUM,1240000,1,1,WEB
M0000011,1,36,14,2016-10-11,2023-12-01,SILVER,160000,1,0,STORE
M0000012,2,25,40,2021-08-17,,BRONZE,48000,0,1,APP
M0000013,1,73,01,2011-05-09,,GOLD,460000,1,0,PHONE
M0000014,2,39,28,2018-12-25,,SILVER,230000,1,1,WEB
M0000015,1,47,13,2013-07-04,,GOLD,540000,1,1,STORE
M0000016,2,16,27,2025-02-10,,BRONZE,9000,0,0,APP
M0000017,1,33,11,2019-11-23,,SILVER,195000,1,1,WEB
M0000018,2,61,23,2012-04-18,,PLATINUM,820000,1,0,STORE
M0000019,9,29,13,2022-06-30,,BRONZE,68000,0,1,APP
M0000020,1,55,40,2014-09-12,2024-01-20,GOLD,380000,1,1,WEB
M0000021,2,42,14,2017-08-08,,SILVER,255000,1,0,STORE
M0000022,1,21,28,2023-10-05,,BRONZE,22000,0,1,APP
M0000023,2,49,13,2015-03-17,,GOLD,490000,1,1,WEB
M0000024,1,31,27,2020-01-22,,SILVER,170000,0,1,APP
M0000025,2,64,11,2011-12-03,,PLATINUM,910000,1,0,STORE
M0000026,1,17,40,2025-05-14,,BRONZE,12000,0,1,APP
M0000027,2,38,13,2018-07-26,,SILVER,225000,1,1,WEB
M0000028,1,57,01,2013-02-09,,GOLD,565000,1,0,PHONE
M0000029,2,27,14,2021-11-15,,BRONZE,55000,0,1,APP
M0000030,1,44,23,2016-06-28,,GOLD,415000,1,1,WEB
M0000031,2,71,13,2010-10-19,,PLATINUM,780000,1,0,STORE
M0000032,1,35,27,2019-03-07,2024-08-30,SILVER,140000,1,1,WEB
M0000033,2,23,11,2022-12-12,,BRONZE,38000,0,1,APP
M0000034,1,50,40,2014-05-01,,PLATINUM,720000,1,1,WEB
M0000035,2,18,28,2024-09-08,,BRONZE,15000,0,1,APP
M0000036,1,40,13,2017-04-25,,GOLD,470000,1,0,STORE
M0000037,2,32,14,2020-08-13,,SILVER,205000,1,1,WEB
M0000038,9,68,27,2011-07-16,,GOLD,440000,1,0,PHONE
M0000039,1,26,23,2022-02-28,,BRONZE,60000,0,1,APP
M0000040,2,53,13,2013-11-11,2023-06-09,PLATINUM,650000,1,1,WEB
