table,constraint_id,constraint,violations,total,violation_rate,sample_violation
customer,C1,member_id 一意性,0,300,0.0,
customer,C2,leave_date >= join_date,0,51,0.0,
customer,C3,age<18 → has_spouse=0,0,29,0.0,
customer,C4,PLATINUM → annual_spend >= 500_000,0,20,0.0,
customer,C5a,"age ∈ [0,110]",0,300,0.0,
customer,C5b,"annual_spend ∈ [0,3000000]",0,300,0.0,
customer,C6a,"gender ∈ {1,2,9}",0,300,0.0,
customer,C6b,"member_rank ∈ {BRONZE,SILVER,GOLD,PLATINUM}",0,300,0.0,
customer,C6c,"registration_channel ∈ {WEB,STORE,APP,PHONE}",0,300,0.0,
customer,C6d,prefecture_code ∈ 01..47,0,300,0.0,
transaction,T1,transaction_id 一意,0,40400,0.0,
transaction,T2,member_id FK 整合,0,40400,0.0,
transaction,T3a,transaction_date >= join_date,0,40400,0.0,
transaction,T3b,transaction_date <= leave_date（退会者）,0,5928,0.0,
transaction,T3c,transaction_date <= 2026-05-20,0,40400,0.0,
transaction,T4,amount >= 1,0,40400,0.0,
transaction,T5,quantity >= 1,0,40400,0.0,
transaction,T6a,store_code ∈ S001..S050,0,40400,0.0,
transaction,T6b,product_category 許容値,0,40400,0.0,
transaction,T6c,payment_method 許容値,0,40400,0.0,
transaction,T7a,"amount ∈ [1, 500000]",0,40400,0.0,
transaction,T7b,"quantity ∈ [1, 30]",0,40400,0.0,
