member_id,gender,age,prefecture_code,join_date,leave_date,member_rank,annual_spend,has_spouse,email_optin,registration_channel
M0000001,2,46,39,2012-10-09,2016-03-25,GOLD,514845,1,1,STORE
M0000002,1,45,42,2020-04-07,,BRONZE,84146,1,0,WEB
M0000003,2,47,14,2021-01-16,,BRONZE,158184,1,1,APP
M0000004,2,50,14,2021-05-11,,GOLD,735263,1,1,WEB
M0000005,1,18,11,2019-02-06,2024-04-06,BRONZE,79151,0,1,APP
M0000006,9,34,40,2021-04-07,,BRONZE,11057,1,1,WEB
M0000007,2,39,27,2018-11-18,,SILVER,167570,1,1,APP
M0000008,2,41,35,2023-02-12,,PLATINUM,1535304,0,1,STORE
M0000009,1,40,27,2012-11-15,,SILVER,145771,1,1,STORE
M0000010,2,58,07,2017-09-26,,BRONZE,74173,0,0,STORE
M0000011,1,60,13,2016-08-30,,PLATINUM,943604,1,1,WEB
M0000012,2,43,13,2018-07-14,2025-12-31,SILVER,510012,1,1,STORE
M0000013,2,31,12,2012-04-10,,BRONZE,302589,0,0,APP
M0000014,2,48,14,2015-03-08,2017-04-17,BRONZE,77303,1,1,APP
M0000015,1,31,12,2025-04-07,,BRONZE,22283,0,1,WEB
M0000016,1,40,13,2011-09-08,,BRONZE,60904,0,1,APP
M0000017,2,57,42,2020-03-01,,SILVER,195289,1,1,APP
M0000018,1,31,15,2020-08-20,,BRONZE,20400,1,1,APP
M0000019,2,54,33,2017-08-05,,SILVER,484215,1,1,STORE
M0000020,2,52,13,2010-07-16,,BRONZE,118509,1,1,WEB
M0000021,2,24,14,2010-07-20,,BRONZE,20486,1,0,PHONE
M0000022,1,57,40,2014-05-30,,BRONZE,52667,1,1,WEB
M0000023,9,52,23,2011-08-23,,SILVER,99397,0,1,WEB
M0000024,2,42,14,2011-07-05,2017-11-26,SILVER,259151,1,1,APP
M0000025,2,27,13,2012-07-24,,BRONZE,27428,0,0,WEB
M0000026,1,25,40,2013-01-19,,BRONZE,34107,1,1,APP
M0000027,2,31,27,2023-06-02,,BRONZE,141504,0,1,WEB
M0000028,1,49,40,2020-03-21,,GOLD,681915,0,1,APP
M0000029,1,24,27,2010-06-27,,BRONZE,43004,0,0,PHONE
M0000030,2,47,27,2020-01-21,,GOLD,426325,1,1,PHONE
M0000031,2,19,01,2012-03-09,,BRONZE,27043,0,1,PHONE
