transaction_id,member_id,transaction_date,store_code,product_category,quantity,amount,payment_method
T0000000001,M0000042,2010-03-11,S001,ELECTRONICS,1,4008,CREDIT
T0000000002,M0000248,2010-04-06,S036,DAILY,5,14072,CREDIT
T0000000003,M0000248,2010-04-15,S004,FOOD,3,5318,CASH
T0000000004,M0000136,2010-05-02,S019,ELECTRONICS,1,80694,CREDIT
T0000000005,M0000136,2010-05-16,S043,APPAREL,2,13367,DEBIT
T0000000006,M0000184,2010-05-16,S034,DAILY,1,12197,CREDIT
T0000000007,M0000136,2010-05-23,S006,FOOD,3,6057,CREDIT
T0000000008,M0000136,2010-05-29,S012,FOOD,5,14025,CREDIT
T0000000009,M0000136,2010-05-29,S008,APPAREL,2,11107,CREDIT
T0000000010,M0000248,2010-05-30,S046,DAILY,5,8236,DEBIT
T0000000011,M0000136,2010-06-04,S023,FOOD,4,6234,CREDIT
T0000000012,M0000136,2010-06-07,S039,DAILY,4,10200,CASH
T0000000013,M0000136,2010-06-09,S019,FOOD,4,5238,EMONEY
T0000000014,M0000269,2010-06-11,S029,FOOD,3,970,POINT
T0000000015,M0000269,2010-06-18,S047,DAILY,4,1728,CREDIT
T0000000016,M0000136,2010-06-20,S028,ELECTRONICS,1,29698,CREDIT
T0000000017,M0000269,2010-06-23,S031,FOOD,3,3445,CASH
T0000000018,M0000042,2010-06-24,S030,BOOKS,5,1679,EMONEY
T0000000019,M0000217,2010-06-27,S049,FOOD,6,2494,EMONEY
T0000000020,M0000042,2010-06-28,S039,APPAREL,1,567,CREDIT
T0000000021,M0000136,2010-06-28,S015,FOOD,4,1560,CREDIT
T0000000022,M0000248,2010-07-03,S007,FOOD,3,8751,EMONEY
T0000000023,M0000136,2010-07-04,S020,BOOKS,4,18253,EMONEY
T0000000024,M0000136,2010-07-07,S037,APPAREL,2,10455,DEBIT
T0000000025,M0000136,2010-07-13,S045,DAILY,3,3474,EMONEY
T0000000026,M0000269,2010-07-14,S023,FOOD,2,1357,CREDIT
T0000000027,M0000136,2010-07-18,S025,FOOD,4,5367,CREDIT
T0000000028,M0000136,2010-07-19,S032,DAILY,3,6434,CREDIT
T0000000029,M0000248,2010-07-19,S038,FOOD,2,11164,EMONEY
T0000000030,M0000248,2010-07-23,S024,ELECTRONICS,1,36917,CREDIT
T0000000031,M0000136,2010-07-24,S032,FOOD,6,4789,EMONEY
T0000000032,M0000136,2010-07-25,S025,DAILY,2,2990,EMONEY
T0000000033,M0000269,2010-07-31,S019,FOOD,4,3586,CASH
T0000000034,M0000136,2010-08-08,S018,FOOD,1,4891,CREDIT
T0000000035,M0000269,2010-08-10,S005,ELECTRONICS,1,19285,CASH
T0000000036,M0000184,2010-08-15,S010,APPAREL,1,15548,EMONEY
T0000000037,M0000217,2010-08-15,S004,ELECTRONICS,1,57942,DEBIT
T0000000038,M0000249,2010-08-20,S033,BOOKS,3,19501,CREDIT
T0000000039,M0000249,2010-08-25,S006,FOOD,3,10767,EMONEY
T0000000040,M0000269,2010-08-25,S008,FOOD,4,2213,CREDIT
T0000000041,M0000084,2010-08-28,S027,HOME,2,123963,DEBIT
T0000000042,M0000184,2010-08-30,S034,APPAREL,2,10024,EMONEY
T0000000043,M0000084,2010-09-01,S041,ELECTRONICS,2,91265,DEBIT
T0000000044,M0000184,2010-09-02,S050,FOOD,3,10564,CREDIT
T0000000045,M0000248,2010-09-03,S023,FOOD,6,10236,CREDIT
T0000000046,M0000249,2010-09-05,S023,FOOD,3,35272,POINT
T0000000047,M0000084,2010-09-07,S036,BOOKS,2,9947,CREDIT
T0000000048,M0000136,2010-09-07,S042,DAILY,5,6496,EMONEY
T0000000049,M0000136,2010-09-08,S003,FOOD,3,21390,DEBIT
T0000000050,M0000249,2010-09-08,S008,BOOKS,2,13924,CREDIT
T0000000051,M0000248,2010-09-11,S037,BOOKS,5,8075,CASH
T0000000052,M0000136,2010-09-13,S046,DAILY,2,8297,EMONEY
T0000000053,M0000269,2010-09-17,S049,APPAREL,1,2121,EMONEY
T0000000054,M0000084,2010-09-20,S022,FOOD,2,62116,DEBIT
T0000000055,M0000248,2010-09-21,S003,HOME,2,19008,CREDIT
T0000000056,M0000136,2010-09-25,S034,ELECTRONICS,1,2698,CREDIT
T0000000057,M0000084,2010-09-27,S004,APPAREL,1,83473,CREDIT
T0000000058,M0000249,2010-09-28,S023,APPAREL,3,28616,EMONEY
T0000000059,M0000249,2010-09-29,S012,HOME,1,26231,DEBIT
T0000000060,M0000184,2010-10-02,S021,APPAREL,1,21309,EMONEY
T0000000061,M0000248,2010-10-04,S029,HOME,1,12976,DEBIT
T0000000062,M0000269,2010-10-05,S024,HOME,1,1317,CREDIT
T0000000063,M0000248,2010-10-07,S022,APPAREL,3,35479,CASH
T0000000064,M0000136,2010-10-08,S048,FOOD,3,5474,CREDIT
T0000000065,M0000136,2010-10-09,S024,HOME,1,13294,CREDIT
T0000000066,M0000136,2010-10-10,S002,FOOD,5,2682,EMONEY
T0000000067,M0000248,2010-10-19,S033,BOOKS,2,27102,CASH
T0000000068,M0000248,2010-10-19,S036,APPAREL,1,80952,CREDIT
T0000000069,M0000248,2010-10-20,S005,ELECTRONICS,2,80431,CREDIT
T0000000070,M0000269,2010-10-20,S048,APPAREL,3,2492,CREDIT
T0000000071,M0000084,2010-10-22,S034,DAILY,4,13315,CREDIT
T0000000072,M0000249,2010-10-22,S006,FOOD,3,1430,EMONEY
T0000000073,M0000249,2010-10-26,S037,DAILY,4,12016,CASH
T0000000074,M0000042,2010-10-28,S029,APPAREL,3,1950,CREDIT
T0000000075,M0000269,2010-10-28,S002,HOME,1,10098,DEBIT
T0000000076,M0000136,2010-10-30,S048,FOOD,5,9271,EMONEY
T0000000077,M0000249,2010-10-30,S007,DAILY,3,4222,EMONEY
T0000000078,M0000249,2010-10-31,S030,HOME,2,95996,CREDIT
T0000000079,M0000184,2010-11-02,S022,HOME,2,64397,DEBIT
T0000000080,M0000249,2010-11-02,S014,HOME,2,15775,CREDIT
T0000000081,M0000136,2010-11-07,S018,DAILY,2,6545,POINT
T0000000082,M0000249,2010-11-08,S012,BOOKS,5,9552,CREDIT
T0000000083,M0000136,2010-11-10,S025,HOME,2,49758,EMONEY
T0000000084,M0000136,2010-11-10,S006,DAILY,2,7399,CREDIT
T0000000085,M0000184,2010-11-12,S018,FOOD,2,57317,CREDIT
T0000000086,M0000269,2010-11-12,S007,ELECTRONICS,2,5473,CREDIT
T0000000087,M0000084,2010-11-13,S043,DAILY,3,4976,EMONEY
T0000000088,M0000084,2010-11-17,S038,ELECTRONICS,1,82931,CREDIT
T0000000089,M0000217,2010-11-18,S008,APPAREL,2,17547,CREDIT
T0000000090,M0000084,2010-11-23,S023,BOOKS,1,37891,CREDIT
T0000000091,M0000249,2010-11-23,S048,FOOD,5,31315,CASH
T0000000092,M0000217,2010-11-26,S030,DAILY,4,3555,EMONEY
T0000000093,M0000136,2010-12-03,S037,DAILY,2,743,CREDIT
T0000000094,M0000136,2010-12-10,S005,APPAREL,1,17583,CREDIT
T0000000095,M0000248,2010-12-16,S014,FOOD,2,6196,CREDIT
T0000000096,M0000217,2010-12-28,S006,HOME,1,5266,EMONEY
T0000000097,M0000048,2010-12-29,S002,ELECTRONICS,1,500000,CREDIT
T0000000098,M0000048,2010-12-29,S025,DAILY,2,80294,CREDIT
T0000000099,M0000249,2010-12-31,S006,HOME,2,22654,CASH
T0000000100,M0000217,2011-01-01,S016,APPAREL,2,6014,POINT
T0000000101,M0000048,2011-01-02,S005,DAILY,2,152,EMONEY
T0000000102,M0000248,2011-01-04,S038,FOOD,3,33043,CREDIT
T0000000103,M0000249,2011-01-07,S003,HOME,4,50303,CREDIT
T0000000104,M0000269,2011-01-08,S013,APPAREL,2,6889,CREDIT
T0000000105,M0000249,2011-01-11,S040,HOME,2,22375,EMONEY
T0000000106,M0000136,2011-01-12,S017,HOME,3,47699,EMONEY
T0000000107,M0000084,2011-01-14,S050,BOOKS,3,6204,CREDIT
T0000000108,M0000175,2011-01-14,S024,BOOKS,1,2303,DEBIT
T0000000109,M0000022,2011-01-16,S018,FOOD,3,9245,CREDIT
T0000000110,M0000042,2011-01-16,S014,FOOD,5,398,DEBIT
T0000000111,M0000025,2011-01-17,S049,FOOD,1,410,CREDIT
T0000000112,M0000184,2011-01-17,S036,BOOKS,1,10241,DEBIT
T0000000113,M0000249,2011-01-18,S006,BOOKS,4,8143,EMONEY
T0000000114,M0000249,2011-01-21,S022,BOOKS,4,9780,DEBIT
T0000000115,M0000184,2011-01-22,S016,DAILY,6,7120,CASH
T0000000116,M0000248,2011-01-23,S025,DAILY,4,25341,CASH
T0000000117,M0000084,2011-01-24,S028,FOOD,1,5385,CREDIT
T0000000118,M0000022,2011-01-30,S027,FOOD,4,6375,CASH
T0000000119,M0000136,2011-02-03,S023,FOOD,1,6178,CREDIT
T0000000120,M0000136,2011-02-05,S018,FOOD,7,3874,CREDIT
T0000000121,M0000084,2011-02-12,S034,FOOD,2,5177,CREDIT
T0000000122,M0000269,2011-02-14,S038,FOOD,4,1063,CASH
T0000000123,M0000042,2011-02-22,S023,BOOKS,1,879,CREDIT
T0000000124,M0000136,2011-02-24,S017,FOOD,2,2835,CREDIT
T0000000125,M0000184,2011-02-25,S020,HOME,3,16607,EMONEY
T0000000126,M0000136,2011-02-26,S049,APPAREL,3,16429,CASH
T0000000127,M0000048,2011-02-27,S045,DAILY,3,14337,CASH
T0000000128,M0000048,2011-03-01,S023,FOOD,4,15669,EMONEY
T0000000129,M0000175,2011-03-01,S027,FOOD,6,4827,EMONEY
T0000000130,M0000029,2011-03-02,S007,FOOD,2,3374,CREDIT
T0000000131,M0000029,2011-03-04,S049,APPAREL,3,12670,DEBIT
T0000000132,M0000175,2011-03-04,S004,DAILY,5,4484,EMONEY
T0000000133,M0000249,2011-03-04,S029,APPAREL,1,12090,EMONEY
T0000000134,M0000269,2011-03-04,S014,APPAREL,2,15540,DEBIT
T0000000135,M0000136,2011-03-05,S047,FOOD,4,17566,CASH
T0000000136,M0000136,2011-03-06,S034,APPAREL,3,8550,CREDIT
T0000000137,M0000136,2011-03-07,S012,ELECTRONICS,1,75951,DEBIT
T0000000138,M0000278,2011-03-07,S019,APPAREL,1,4415,EMONEY
T0000000139,M0000084,2011-03-08,S008,DAILY,4,6999,DEBIT
T0000000140,M0000184,2011-03-08,S010,DAILY,3,5544,DEBIT
T0000000141,M0000029,2011-03-09,S001,FOOD,4,1316,CREDIT
T0000000142,M0000048,2011-03-09,S039,DAILY,6,5751,CASH
T0000000143,M0000136,2011-03-10,S032,DAILY,5,7657,CREDIT
T0000000144,M0000136,2011-03-10,S028,DAILY,5,8626,CASH
T0000000145,M0000025,2011-03-13,S049,ELECTRONICS,1,13147,POINT
T0000000146,M0000249,2011-03-13,S035,APPAREL,2,13112,EMONEY
T0000000147,M0000022,2011-03-14,S011,APPAREL,1,3712,CREDIT
T0000000148,M0000269,2011-03-15,S050,HOME,2,9445,CREDIT
T0000000149,M0000048,2011-03-20,S015,APPAREL,2,551,CREDIT
T0000000150,M0000025,2011-03-21,S015,FOOD,4,1416,CREDIT
T0000000151,M0000249,2011-03-24,S022,DAILY,4,7400,CREDIT
T0000000152,M0000029,2011-03-26,S014,APPAREL,2,6067,CREDIT
T0000000153,M0000136,2011-04-01,S011,FOOD,4,3773,CREDIT
T0000000154,M0000022,2011-04-03,S024,FOOD,2,1687,CASH
T0000000155,M0000084,2011-04-03,S017,FOOD,4,11705,CASH
T0000000156,M0000249,2011-04-03,S036,DAILY,4,5166,EMONEY
T0000000157,M0000278,2011-04-03,S008,FOOD,2,2966,DEBIT
T0000000158,M0000025,2011-04-04,S042,FOOD,6,189,POINT
T0000000159,M0000048,2011-04-04,S046,FOOD,4,5561,CREDIT
T0000000160,M0000249,2011-04-04,S025,BOOKS,2,600,DEBIT
T0000000161,M0000184,2011-04-05,S016,BOOKS,2,5397,CREDIT
T0000000162,M0000249,2011-04-05,S001,HOME,2,13959,CASH
T0000000163,M0000071,2011-04-07,S042,DAILY,1,2531,CASH
T0000000164,M0000071,2011-04-12,S036,APPAREL,1,16184,CREDIT
T0000000165,M0000084,2011-04-12,S029,FOOD,3,5610,CREDIT
T0000000166,M0000048,2011-04-15,S026,FOOD,4,15905,EMONEY
T0000000167,M0000249,2011-04-15,S008,HOME,2,14218,CREDIT
T0000000168,M0000249,2011-04-16,S017,APPAREL,1,21278,DEBIT
T0000000169,M0000136,2011-04-20,S038,FOOD,4,10955,CREDIT
T0000000170,M0000175,2011-04-22,S049,HOME,2,9491,EMONEY
T0000000171,M0000184,2011-04-24,S035,DAILY,3,4043,CREDIT
T0000000172,M0000249,2011-04-24,S027,APPAREL,1,19125,CREDIT
T0000000173,M0000048,2011-04-27,S022,FOOD,2,25916,EMONEY
T0000000174,M0000048,2011-04-29,S002,FOOD,6,24728,CASH
T0000000175,M0000249,2011-04-29,S027,ELECTRONICS,1,49182,CASH
T0000000176,M0000249,2011-04-30,S044,FOOD,6,4333,CREDIT
T0000000177,M0000048,2011-05-01,S022,APPAREL,2,18688,EMONEY
T0000000178,M0000136,2011-05-03,S049,BOOKS,6,31211,DEBIT
T0000000179,M0000048,2011-05-04,S005,ELECTRONICS,1,80620,CREDIT
T0000000180,M0000136,2011-05-05,S026,FOOD,6,6630,CREDIT
T0000000181,M0000048,2011-05-10,S036,DAILY,4,2406,CASH
T0000000182,M0000278,2011-05-10,S044,ELECTRONICS,1,167551,CREDIT
T0000000183,M0000084,2011-05-11,S012,APPAREL,2,10453,CREDIT
T0000000184,M0000022,2011-05-16,S004,APPAREL,3,23836,CASH
T0000000185,M0000136,2011-05-16,S007,ELECTRONICS,1,26760,CREDIT
T0000000186,M0000217,2011-05-16,S026,DAILY,3,3157,EMONEY
T0000000187,M0000084,2011-05-17,S047,APPAREL,1,16867,CASH
T0000000188,M0000048,2011-05-18,S020,APPAREL,3,17181,DEBIT
T0000000189,M0000136,2011-05-19,S015,HOME,1,70777,DEBIT
T0000000190,M0000084,2011-05-23,S035,APPAREL,2,2997,CREDIT
T0000000191,M0000175,2011-05-23,S012,DAILY,4,2847,DEBIT
T0000000192,M0000249,2011-05-24,S037,DAILY,4,5142,EMONEY
T0000000193,M0000029,2011-05-26,S049,FOOD,1,12479,CREDIT
T0000000194,M0000084,2011-05-27,S050,FOOD,4,15586,CREDIT
T0000000195,M0000248,2011-05-27,S006,HOME,2,16295,DEBIT
T0000000196,M0000022,2011-05-29,S037,DAILY,5,4011,CREDIT
T0000000197,M0000269,2011-05-30,S026,DAILY,4,4286,CREDIT
T0000000198,M0000249,2011-05-31,S023,FOOD,4,1625,CASH
T0000000199,M0000184,2011-06-01,S007,FOOD,5,9296,CASH
T0000000200,M0000249,2011-06-02,S046,HOME,2,4262,EMONEY
T0000000201,M0000071,2011-06-10,S047,BOOKS,2,9654,CASH
T0000000202,M0000084,2011-06-10,S008,APPAREL,5,35401,EMONEY
T0000000203,M0000048,2011-06-11,S041,FOOD,9,11077,CREDIT
T0000000204,M0000084,2011-06-11,S034,FOOD,4,3683,CREDIT
T0000000205,M0000136,2011-06-12,S003,DAILY,2,4370,CASH
T0000000206,M0000249,2011-06-12,S032,FOOD,8,5078,EMONEY
T0000000207,M0000048,2011-06-13,S043,BOOKS,5,6750,CREDIT
T0000000208,M0000269,2011-06-13,S013,FOOD,5,3057,CREDIT
T0000000209,M0000042,2011-06-16,S044,HOME,6,1768,CREDIT
T0000000210,M0000071,2011-06-19,S006,FOOD,4,9315,CREDIT
T0000000211,M0000136,2011-06-19,S011,HOME,4,24595,DEBIT
T0000000212,M0000029,2011-06-21,S041,DAILY,1,7165,CASH
T0000000213,M0000029,2011-06-21,S006,APPAREL,3,16487,CREDIT
T0000000214,M0000084,2011-06-23,S014,APPAREL,1,39467,CREDIT
T0000000215,M0000025,2011-06-27,S006,FOOD,7,1599,POINT
T0000000216,M0000022,2011-06-28,S032,HOME,2,11925,CREDIT
T0000000217,M0000048,2011-06-28,S032,FOOD,6,9836,CREDIT
T0000000218,M0000048,2011-06-28,S012,APPAREL,3,15684,EMONEY
T0000000219,M0000217,2011-06-29,S003,ELECTRONICS,1,50992,CREDIT
T0000000220,M0000249,2011-07-04,S046,APPAREL,1,16046,CASH
T0000000221,M0000249,2011-07-06,S019,FOOD,2,15326,CREDIT
T0000000222,M0000136,2011-07-12,S037,HOME,1,30692,EMONEY
T0000000223,M0000175,2011-07-16,S031,FOOD,5,1601,CREDIT
T0000000224,M0000175,2011-07-17,S050,ELECTRONICS,1,21038,CREDIT
T0000000225,M0000071,2011-07-19,S016,FOOD,3,6419,CREDIT
T0000000226,M0000084,2011-07-19,S037,APPAREL,1,13229,CREDIT
T0000000227,M0000128,2011-07-19,S013,APPAREL,1,54516,CREDIT
T0000000228,M0000048,2011-07-20,S027,FOOD,8,10188,POINT
T0000000229,M0000029,2011-07-21,S017,APPAREL,1,3159,DEBIT
T0000000230,M0000084,2011-07-30,S005,APPAREL,2,37683,DEBIT
T0000000231,M0000184,2011-07-31,S049,APPAREL,3,46871,CREDIT
T0000000232,M0000249,2011-08-02,S026,APPAREL,2,7900,CREDIT
T0000000233,M0000048,2011-08-04,S010,FOOD,3,4649,DEBIT
T0000000234,M0000184,2011-08-08,S015,FOOD,5,11907,CREDIT
T0000000235,M0000079,2011-08-14,S048,ELECTRONICS,1,74372,CREDIT
T0000000236,M0000136,2011-08-15,S047,FOOD,4,27056,DEBIT
T0000000237,M0000048,2011-08-19,S038,APPAREL,1,5144,CASH
T0000000238,M0000071,2011-08-20,S022,FOOD,4,14730,CREDIT
T0000000239,M0000042,2011-08-21,S041,ELECTRONICS,1,1159,EMONEY
T0000000240,M0000269,2011-08-21,S031,FOOD,3,4311,EMONEY
T0000000241,M0000048,2011-08-23,S005,FOOD,1,9663,DEBIT
T0000000242,M0000071,2011-08-23,S039,FOOD,9,17511,CREDIT
T0000000243,M0000071,2011-08-24,S048,ELECTRONICS,1,130669,CREDIT
T0000000244,M0000048,2011-08-25,S033,HOME,2,19746,CREDIT
T0000000245,M0000071,2011-08-27,S007,FOOD,5,6158,CREDIT
T0000000246,M0000022,2011-08-29,S017,HOME,3,31190,EMONEY
T0000000247,M0000184,2011-08-29,S009,HOME,2,50011,CREDIT
T0000000248,M0000071,2011-08-31,S043,BOOKS,4,8275,EMONEY
T0000000249,M0000136,2011-09-01,S036,FOOD,4,10325,DEBIT
T0000000250,M0000128,2011-09-03,S046,HOME,2,51321,DEBIT
T0000000251,M0000071,2011-09-07,S004,FOOD,6,15317,DEBIT
T0000000252,M0000084,2011-09-08,S018,APPAREL,2,18547,EMONEY
T0000000253,M0000128,2011-09-09,S030,FOOD,2,25167,CASH
T0000000254,M0000249,2011-09-12,S041,FOOD,4,8259,CREDIT
T0000000255,M0000025,2011-09-13,S030,HOME,3,10148,CREDIT
T0000000256,M0000048,2011-09-14,S019,FOOD,5,5573,POINT
T0000000257,M0000084,2011-09-14,S030,BOOKS,5,13080,CREDIT
T0000000258,M0000136,2011-09-14,S028,FOOD,2,15288,CREDIT
T0000000259,M0000136,2011-09-15,S021,FOOD,3,3875,CASH
T0000000260,M0000249,2011-09-15,S009,FOOD,4,8093,POINT
T0000000261,M0000084,2011-09-16,S029,APPAREL,2,8540,CREDIT
T0000000262,M0000128,2011-09-17,S031,DAILY,1,10155,CREDIT
T0000000263,M0000223,2011-09-18,S001,HOME,2,129562,CREDIT
T0000000264,M0000249,2011-09-18,S037,BOOKS,4,8361,CASH
T0000000265,M0000048,2011-09-19,S025,APPAREL,2,28018,CREDIT
T0000000266,M0000079,2011-09-21,S028,FOOD,4,8162,CREDIT
T0000000267,M0000184,2011-09-22,S021,FOOD,4,780,CASH
T0000000268,M0000278,2011-09-22,S005,HOME,2,9379,CASH
T0000000269,M0000029,2011-09-23,S003,BOOKS,4,5049,DEBIT
T0000000270,M0000029,2011-09-25,S039,FOOD,5,3603,DEBIT
T0000000271,M0000048,2011-09-25,S028,FOOD,3,20337,CREDIT
T0000000272,M0000084,2011-09-27,S019,DAILY,5,5451,CREDIT
T0000000273,M0000128,2011-09-27,S004,FOOD,4,14094,DEBIT
