course_code,department,credits,semester,level,max_students
C0001,COMMON,2,SPRING,1,200
C0002,COMMON,2,FALL,1,200
C0003,COMMON,1,SPRING,1,150
C0010,LITERATURE,2,SPRING,1,80
C0011,LITERATURE,4,FULL_YEAR,2,60
C0012,LITERATURE,2,FALL,3,40
C0020,SCIENCE,2,SPRING,1,100
C0021,SCIENCE,3,FALL,2,80
C0022,SCIENCE,4,FULL_YEAR,3,50
C0030,ENGINEERING,2,SPRING,1,150
C0031,ENGINEERING,3,FALL,2,120
C0032,ENGINEERING,4,FULL_YEAR,3,80
C0033,ENGINEERING,2,FALL,4,40
C0040,ECONOMICS,2,SPRING,1,200
C0041,ECONOMICS,4,FULL_YEAR,2,150
C0042,ECONOMICS,2,FALL,3,80
C0050,MEDICAL,4,FULL_YEAR,1,100
C0051,MEDICAL,4,FULL_YEAR,2,100
C0052,MEDICAL,3,SPRING,3,80
C0053,MEDICAL,3,FALL,4,80
