enrollment_id,student_id,course_code,academic_year,final_grade,attendance_rate
E0000000001,S20180001,C0001,2018,A,92.5
E0000000002,S20180001,C0010,2018,S,98.0
E0000000003,S20180001,C0011,2019,A,88.0
E0000000004,S20180002,C0001,2018,B,80.0
E0000000005,S20180002,C0030,2018,C,72.0
E0000000006,S20180002,C0031,2019,B,84.0
E0000000007,S20190005,C0002,2019,A,90.0
E0000000008,S20190005,C0020,2019,S,95.5
E0000000009,S20190005,C0022,2021,A,88.5
E0000000010,S20200003,C0050,2020,A,93.0
E0000000011,S20200003,C0051,2021,S,97.0
E0000000012,S20200003,C0052,2022,A,89.0
E0000000013,S20200003,C0053,2023,A,91.0
E0000000014,S20200007,C0030,2020,C,68.0
E0000000015,S20200007,C0031,2021,F,42.0
E0000000016,S20200007,C0031,2022,B,82.0
E0000000017,S20200012,C0010,2020,W,18.0
E0000000018,S20210004,C0020,2021,B,78.0
E0000000019,S20210004,C0021,2022,A,87.5
E0000000020,S20210004,C0022,2023,B,80.0
E0000000021,S20210009,C0040,2021,A,86.0
E0000000022,S20210009,C0041,2022,S,95.0
E0000000023,S20210014,C0050,2021,A,89.0
E0000000024,S20210014,C0051,2022,A,90.0
E0000000025,S20220006,C0030,2022,C,70.5
E0000000026,S20220011,C0010,2022,F,38.0
E0000000027,S20220018,C0020,2022,A,86.0
E0000000028,S20220018,C0021,2023,B,79.0
E0000000029,S20230002,C0040,2023,A,87.0
E0000000030,S20230002,C0041,2024,S,94.5
E0000000031,S20230007,C0030,2023,D,55.0
E0000000032,S20230013,C0050,2023,A,92.0
E0000000033,S20230013,C0051,2024,S,96.0
E0000000034,S20240001,C0010,2024,B,82.0
E0000000035,S20240010,C0020,2024,S,97.5
E0000000036,S20240015,C0030,2024,C,68.0
