table,constraint_id,constraint,violations,total,violation_rate,sample_violation
student,S1,student_id 一意,0,1000,0.0,
student,S2,"enrollment_year ∈ [2018,2025]",0,1000,0.0,
student,S3,"grade 上限は学部依存（MEDICAL=6, その他=4）",0,1000,0.0,
student,S4,"gpa ∈ [0.0, 4.0]",0,1000,0.0,
student,S5a,department 許容値,0,1000,0.0,
student,S5b,"gender ∈ {1,2,9}",0,1000,0.0,
student,S5c,status 許容値,0,1000,0.0,
student,S6,student_id 先頭4桁 = enrollment_year,0,1000,0.0,
course,CR1,course_code 一意,0,200,0.0,
course,CR2a,department 許容値（含む COMMON）,0,200,0.0,
course,CR2b,semester 許容値,0,200,0.0,
course,CR3a,"credits ∈ [1,4]",0,200,0.0,
course,CR3b,"level ∈ [1,4]",0,200,0.0,
course,CR3c,"max_students ∈ [20,300]",0,200,0.0,
course,CR4,FULL_YEAR の credits は 3〜4 推奨（参考）,0,43,0.0,
course,CR1f,course_code 形式 C\d{4},0,200,0.0,
enrollment,E1,enrollment_id 一意,0,33017,0.0,
enrollment,E1f,enrollment_id 形式 E\d{10},0,33017,0.0,
enrollment,E2,student_id ∈ student.student_id,0,33017,0.0,
enrollment,E3,course_code ∈ course.course_code,0,33017,0.0,
enrollment,E4,academic_year >= student.enrollment_year,0,33017,0.0,
enrollment,E5,GRADUATED/WITHDRAWN: academic_year <= 入学年度+修業年限-1,0,16984,0.0,
enrollment,E6,academic_year <= 2025,0,33017,0.0,
enrollment,E7,"(student_id, course_code, academic_year) 一意",0,33017,0.0,
enrollment,E8,"final_grade ∈ {S,A,B,C,D,F,W} or null",0,33017,0.0,
enrollment,E9,"attendance_rate ∈ [0.0, 100.0]",0,33017,0.0,
