course_code,department,credits,semester,level,max_students
C0001,ENGINEERING,3,FULL_YEAR,2,80
C0002,ECONOMICS,3,FALL,1,100
C0003,ECONOMICS,1,FALL,3,110
C0004,LITERATURE,3,FALL,1,70
C0005,COMMON,1,SPRING,1,220
C0006,COMMON,1,FALL,3,260
C0007,COMMON,3,FALL,1,270
C0008,ENGINEERING,2,SPRING,1,90
C0009,COMMON,4,FULL_YEAR,3,220
C0010,MEDICAL,2,SPRING,1,80
C0011,ECONOMICS,3,SPRING,3,60
C0012,LITERATURE,3,SPRING,3,70
C0013,ENGINEERING,4,FULL_YEAR,1,80
C0014,ENGINEERING,3,FULL_YEAR,2,40
C0015,ECONOMICS,1,FALL,1,110
C0016,ENGINEERING,4,FULL_YEAR,3,80
C0017,ENGINEERING,4,FULL_YEAR,1,70
C0018,ECONOMICS,3,FULL_YEAR,4,100
C0019,ECONOMICS,4,FULL_YEAR,1,70
C0020,MEDICAL,2,SPRING,3,100
C0021,COMMON,3,FALL,1,230
C0022,ECONOMICS,2,FALL,1,120
C0023,COMMON,3,FALL,2,200
C0024,ENGINEERING,2,SPRING,2,90
C0025,LITERATURE,2,FALL,4,100
C0026,COMMON,3,FULL_YEAR,1,190
C0027,ECONOMICS,2,SPRING,1,50
C0028,ENGINEERING,3,FULL_YEAR,2,60
C0029,COMMON,3,SPRING,2,210
C0030,MEDICAL,3,SPRING,4,90
C0031,ENGINEERING,1,SPRING,4,120
C0032,SCIENCE,2,FALL,4,100
C0033,ENGINEERING,3,FALL,1,130
C0034,MEDICAL,1,SPRING,2,90
C0035,ENGINEERING,1,FALL,3,150
C0036,ENGINEERING,3,SPRING,2,50
C0037,SCIENCE,3,FALL,3,40
C0038,ENGINEERING,4,FULL_YEAR,1,50
C0039,ENGINEERING,3,FALL,2,150
C0040,MEDICAL,2,FALL,4,80
C0041,ECONOMICS,2,FALL,1,120
C0042,LITERATURE,3,FULL_YEAR,4,90
C0043,LITERATURE,3,SPRING,2,60
C0044,SCIENCE,2,SPRING,1,70
C0045,SCIENCE,2,SPRING,1,100
C0046,ECONOMICS,3,FALL,1,150
C0047,ENGINEERING,2,FALL,2,130
C0048,COMMON,3,FALL,1,290
C0049,LITERATURE,2,SPRING,3,100
C0050,SCIENCE,3,SPRING,4,80
C0051,ECONOMICS,2,FALL,2,100
C0052,COMMON,4,FULL_YEAR,1,150
C0053,ENGINEERING,2,SPRING,2,100
C0054,ECONOMICS,3,SPRING,3,50
C0055,SCIENCE,2,SPRING,2,110
C0056,COMMON,2,FALL,1,190
C0057,LITERATURE,2,SPRING,2,130
C0058,SCIENCE,3,SPRING,2,110
C0059,MEDICAL,3,FALL,2,100
C0060,COMMON,2,SPRING,1,220
C0061,MEDICAL,1,SPRING,4,110
C0062,LITERATURE,2,SPRING,1,120
C0063,SCIENCE,4,FULL_YEAR,1,150
C0064,COMMON,3,FALL,1,210
C0065,ECONOMICS,3,SPRING,2,100
C0066,LITERATURE,3,SPRING,2,130
C0067,ENGINEERING,1,FALL,1,80
C0068,ENGINEERING,4,FULL_YEAR,2,100
C0069,ECONOMICS,2,SPRING,3,100
C0070,ECONOMICS,3,SPRING,1,100
C0071,COMMON,3,SPRING,4,110
C0072,ENGINEERING,1,FALL,2,100
C0073,COMMON,4,FULL_YEAR,1,160
C0074,MEDICAL,2,FALL,4,100
C0075,MEDICAL,2,SPRING,3,100
C0076,ENGINEERING,2,FALL,2,130
C0077,COMMON,2,FALL,3,230
C0078,COMMON,1,SPRING,2,240
C0079,ECONOMICS,1,SPRING,2,70
C0080,SCIENCE,3,SPRING,3,130
C0081,ECONOMICS,2,FALL,3,110
C0082,COMMON,3,FALL,1,250
C0083,COMMON,2,FALL,3,300
C0084,COMMON,4,FULL_YEAR,2,240
C0085,SCIENCE,2,SPRING,1,60
C0086,LITERATURE,2,SPRING,4,110
C0087,ECONOMICS,2,SPRING,2,70
C0088,ENGINEERING,4,FULL_YEAR,2,100
C0089,MEDICAL,2,FALL,2,110
C0090,ENGINEERING,2,SPRING,2,40
C0091,SCIENCE,3,SPRING,1,120
C0092,MEDICAL,3,FALL,4,110
C0093,ECONOMICS,2,FALL,3,100
C0094,MEDICAL,2,FALL,3,120
C0095,ENGINEERING,2,SPRING,2,120
C0096,LITERATURE,4,FULL_YEAR,1,140
C0097,COMMON,1,FALL,1,220
C0098,ECONOMICS,2,FALL,2,100
C0099,COMMON,2,FALL,1,170
C0100,COMMON,4,FULL_YEAR,3,170
C0101,COMMON,4,FULL_YEAR,4,270
C0102,ENGINEERING,2,FALL,2,130
C0103,ECONOMICS,1,FALL,2,110
C0104,ECONOMICS,3,SPRING,3,130
C0105,ENGINEERING,3,FULL_YEAR,1,70
C0106,MEDICAL,3,FALL,4,90
C0107,MEDICAL,2,SPRING,2,90
C0108,COMMON,3,SPRING,1,190
C0109,ENGINEERING,4,FULL_YEAR,1,50
C0110,LITERATURE,4,FULL_YEAR,4,70
C0111,LITERATURE,4,FULL_YEAR,1,40
C0112,ENGINEERING,2,FALL,3,60
C0113,LITERATURE,2,FALL,1,50
C0114,COMMON,4,FULL_YEAR,1,240
C0115,ENGINEERING,3,SPRING,4,130
C0116,LITERATURE,3,SPRING,1,150
C0117,LITERATURE,4,FULL_YEAR,1,110
C0118,SCIENCE,3,SPRING,2,110
C0119,COMMON,2,FALL,4,120
C0120,COMMON,3,FALL,2,120
C0121,COMMON,2,FALL,1,140
C0122,COMMON,2,SPRING,4,140
C0123,COMMON,2,FALL,3,220
C0124,ECONOMICS,3,SPRING,4,140
C0125,ECONOMICS,3,FULL_YEAR,3,130
C0126,LITERATURE,2,SPRING,3,70
C0127,ENGINEERING,2,FALL,2,90
C0128,COMMON,3,FALL,2,230
C0129,LITERATURE,2,SPRING,3,130
C0130,COMMON,2,SPRING,3,210
C0131,SCIENCE,2,FALL,4,100
C0132,COMMON,2,SPRING,2,160
C0133,ECONOMICS,3,SPRING,1,130
C0134,MEDICAL,2,FALL,2,100
C0135,ECONOMICS,4,FULL_YEAR,3,140
C0136,LITERATURE,2,FALL,2,70
C0137,LITERATURE,2,SPRING,3,110
C0138,COMMON,4,FULL_YEAR,2,220
C0139,LITERATURE,2,FALL,1,70
C0140,MEDICAL,3,FALL,2,100
C0141,MEDICAL,1,FALL,3,100
C0142,ENGINEERING,3,SPRING,4,100
C0143,ENGINEERING,2,SPRING,2,150
C0144,SCIENCE,1,FALL,2,130
C0145,ECONOMICS,2,SPRING,2,70
C0146,ENGINEERING,2,FALL,2,50
C0147,COMMON,2,SPRING,1,120
C0148,COMMON,3,SPRING,4,200
C0149,ECONOMICS,2,SPRING,4,70
C0150,COMMON,2,FALL,2,130
C0151,COMMON,2,FALL,2,120
C0152,COMMON,2,SPRING,1,130
C0153,MEDICAL,2,SPRING,2,110
C0154,COMMON,3,SPRING,2,120
C0155,COMMON,3,FULL_YEAR,3,200
C0156,ECONOMICS,2,SPRING,1,100
C0157,COMMON,2,FALL,3,210
C0158,MEDICAL,2,SPRING,1,80
C0159,MEDICAL,2,SPRING,3,100
C0160,ENGINEERING,2,FALL,3,60
C0161,ENGINEERING,2,FALL,1,130
C0162,ENGINEERING,2,SPRING,2,100
C0163,COMMON,3,FULL_YEAR,3,220
C0164,ENGINEERING,3,SPRING,3,40
C0165,COMMON,2,SPRING,1,190
C0166,COMMON,2,SPRING,2,140
C0167,ECONOMICS,2,FALL,2,90
C0168,COMMON,2,FALL,3,100
C0169,COMMON,2,SPRING,3,240
C0170,ECONOMICS,3,FULL_YEAR,1,120
C0171,ENGINEERING,1,FALL,3,120
C0172,COMMON,4,FULL_YEAR,3,300
C0173,COMMON,4,FULL_YEAR,3,160
C0174,COMMON,4,FULL_YEAR,1,140
C0175,COMMON,3,FALL,2,160
C0176,SCIENCE,2,SPRING,2,60
C0177,MEDICAL,2,FALL,1,100
C0178,ENGINEERING,2,FALL,2,60
C0179,ENGINEERING,2,FALL,1,130
C0180,LITERATURE,2,FALL,1,50
C0181,LITERATURE,2,SPRING,3,70
C0182,COMMON,3,FULL_YEAR,1,140
C0183,COMMON,2,SPRING,3,140
C0184,ENGINEERING,4,FULL_YEAR,1,130
C0185,ECONOMICS,2,SPRING,2,40
C0186,COMMON,3,SPRING,2,200
C0187,ENGINEERING,4,FULL_YEAR,3,130
C0188,ENGINEERING,4,FULL_YEAR,3,90
C0189,ENGINEERING,3,FALL,2,70
C0190,ECONOMICS,3,FULL_YEAR,3,60
C0191,LITERATURE,2,SPRING,1,60
C0192,ECONOMICS,3,FULL_YEAR,2,120
C0193,COMMON,2,SPRING,1,260
C0194,COMMON,3,FALL,2,240
C0195,SCIENCE,3,FALL,1,80
C0196,ECONOMICS,3,SPRING,4,130
C0197,COMMON,1,FALL,2,290
C0198,ENGINEERING,2,FALL,2,140
C0199,SCIENCE,1,SPRING,2,130
C0200,SCIENCE,4,FULL_YEAR,1,140
