enrollment_id,student_id,course_code,academic_year,final_grade,attendance_rate
E0000000001,S20180001,C0017,2018,A,94.5
E0000000002,S20180001,C0026,2018,C,70.8
E0000000003,S20180001,C0083,2018,B,81.8
E0000000004,S20180001,C0131,2018,A,98.5
E0000000005,S20180001,C0132,2018,B,82.3
E0000000006,S20180001,C0154,2018,A,97.1
E0000000007,S20180001,C0197,2018,C,64.9
E0000000008,S20180001,C0032,2019,C,81.7
E0000000009,S20180001,C0050,2019,W,24.1
E0000000010,S20180001,C0123,2019,C,71.9
E0000000011,S20180001,C0144,2019,B,92.4
E0000000012,S20180001,C0023,2020,S,95.8
E0000000013,S20180001,C0032,2020,C,66.9
E0000000014,S20180001,C0054,2020,W,19.4
E0000000015,S20180001,C0079,2020,C,70.8
E0000000016,S20180001,C0080,2020,S,91.3
E0000000017,S20180001,C0083,2020,A,80.2
E0000000018,S20180001,C0155,2020,C,66.5
E0000000019,S20180001,C0176,2020,D,53.2
E0000000020,S20180001,C0195,2020,B,77.8
E0000000021,S20180001,C0002,2021,D,59.9
E0000000022,S20180001,C0016,2021,F,37.8
E0000000023,S20180001,C0028,2021,B,84.5
E0000000024,S20180001,C0049,2021,F,46.7
E0000000025,S20180001,C0055,2021,C,69.8
E0000000026,S20180001,C0062,2021,C,71.5
E0000000027,S20180001,C0067,2021,B,83.2
E0000000028,S20180001,C0109,2021,A,85.0
E0000000029,S20180001,C0129,2021,S,95.8
E0000000030,S20180002,C0002,2018,C,63.9
E0000000031,S20180002,C0004,2018,C,75.6
E0000000032,S20180002,C0056,2018,A,88.4
E0000000033,S20180002,C0060,2018,C,65.9
E0000000034,S20180002,C0062,2018,D,50.6
E0000000035,S20180002,C0096,2018,A,99.3
E0000000036,S20180002,C0138,2018,C,51.9
E0000000037,S20180002,C0166,2018,D,76.5
E0000000038,S20180002,C0184,2018,B,75.5
E0000000039,S20180002,C0005,2019,F,37.5
E0000000040,S20180002,C0009,2019,C,59.7
E0000000041,S20180002,C0023,2019,A,94.7
E0000000042,S20180002,C0062,2019,D,69.6
E0000000043,S20180002,C0084,2019,A,97.6
E0000000044,S20180002,C0128,2019,B,60.5
E0000000045,S20180002,C0149,2019,S,97.0
E0000000046,S20180002,C0151,2019,D,52.3
E0000000047,S20180002,C0166,2019,C,63.2
E0000000048,S20180002,C0169,2019,A,85.0
E0000000049,S20180002,C0175,2019,C,68.1
E0000000050,S20180002,C0003,2020,A,84.0
E0000000051,S20180002,C0015,2020,C,75.0
E0000000052,S20180002,C0018,2020,W,14.0
E0000000053,S20180002,C0066,2020,S,99.3
E0000000054,S20180002,C0127,2020,C,70.3
E0000000055,S20180002,C0133,2020,C,69.5
E0000000056,S20180002,C0187,2020,C,72.3
E0000000057,S20180002,C0022,2021,C,66.3
E0000000058,S20180002,C0050,2021,B,79.6
