student_id,enrollment_year,department,grade,gender,status,gpa
S20240001,2024,ENGINEERING,2,2,ENROLLED,2.45
S20210001,2021,LITERATURE,4,2,WITHDRAWN,1.48
S20240002,2024,ENGINEERING,2,1,ENROLLED,3.31
S20230001,2023,ENGINEERING,3,2,ENROLLED,3.04
S20180001,2018,SCIENCE,4,1,GRADUATED,3.29
S20250001,2025,LITERATURE,1,1,ENROLLED,2.4
S20240003,2024,MEDICAL,2,1,LEAVE,3.29
S20240004,2024,LITERATURE,2,1,ENROLLED,2.82
S20190001,2019,ECONOMICS,4,2,GRADUATED,3.5
S20210002,2021,LITERATURE,4,1,GRADUATED,2.67
S20200001,2020,SCIENCE,4,2,GRADUATED,2.65
S20250002,2025,SCIENCE,1,2,ENROLLED,2.99
S20230002,2023,LITERATURE,3,2,ENROLLED,2.97
S20240005,2024,MEDICAL,2,1,ENROLLED,3.15
S20210003,2021,LITERATURE,4,1,GRADUATED,3.41
S20190002,2019,ENGINEERING,4,2,GRADUATED,2.25
S20220001,2022,SCIENCE,4,2,ENROLLED,3.46
S20180002,2018,ECONOMICS,4,1,GRADUATED,3.6
S20240006,2024,ENGINEERING,2,1,ENROLLED,2.86
S20230003,2023,LITERATURE,3,1,ENROLLED,2.69
S20240007,2024,ECONOMICS,2,2,ENROLLED,2.95
S20200002,2020,ECONOMICS,4,2,GRADUATED,3.12
S20250003,2025,MEDICAL,1,9,ENROLLED,3.6
S20250004,2025,SCIENCE,1,2,ENROLLED,3.47
S20240008,2024,SCIENCE,2,1,ENROLLED,2.87
S20190003,2019,LITERATURE,4,2,GRADUATED,2.32
S20210004,2021,MEDICAL,5,2,ENROLLED,3.66
S20180003,2018,LITERATURE,4,2,GRADUATED,3.01
S20190004,2019,ECONOMICS,4,1,LEAVE,3.24
S20230004,2023,LITERATURE,3,2,ENROLLED,2.69
S20230005,2023,SCIENCE,3,1,ENROLLED,3.27
S20250005,2025,ECONOMICS,1,2,ENROLLED,3.35
S20200003,2020,SCIENCE,4,1,GRADUATED,3.34
S20200004,2020,MEDICAL,6,2,ENROLLED,3.46
S20210005,2021,LITERATURE,4,1,GRADUATED,2.77
S20190005,2019,SCIENCE,4,1,GRADUATED,3.19
S20190006,2019,LITERATURE,4,1,GRADUATED,2.7
S20210006,2021,LITERATURE,4,1,ENROLLED,3.97
S20190007,2019,LITERATURE,4,1,GRADUATED,1.73
S20230006,2023,ENGINEERING,3,2,ENROLLED,2.2
S20210007,2021,ENGINEERING,4,1,GRADUATED,2.92
S20240009,2024,SCIENCE,2,1,ENROLLED,2.89
S20230007,2023,SCIENCE,3,2,ENROLLED,3.12
S20200005,2020,SCIENCE,4,1,GRADUATED,3.24
S20240010,2024,ENGINEERING,2,1,ENROLLED,2.12
S20240011,2024,LITERATURE,2,2,ENROLLED,2.66
S20210008,2021,ENGINEERING,4,1,GRADUATED,3.21
S20200006,2020,ECONOMICS,4,2,GRADUATED,3.04
S20230008,2023,ECONOMICS,3,1,ENROLLED,3.05
S20190008,2019,ENGINEERING,4,2,GRADUATED,3.14
S20190009,2019,SCIENCE,4,1,GRADUATED,3.13
S20180004,2018,ENGINEERING,4,1,GRADUATED,3.9
S20240012,2024,ENGINEERING,2,1,ENROLLED,3.37
S20230009,2023,ENGINEERING,3,1,ENROLLED,2.74
S20230010,2023,ENGINEERING,3,1,ENROLLED,3.36
S20240013,2024,SCIENCE,2,2,ENROLLED,3.19
S20210009,2021,MEDICAL,5,9,ENROLLED,3.2
S20220002,2022,ENGINEERING,4,1,ENROLLED,2.25
S20190010,2019,SCIENCE,4,1,GRADUATED,2.55
S20180005,2018,ECONOMICS,4,2,GRADUATED,3.72
S20230011,2023,MEDICAL,3,1,ENROLLED,2.93
S20210010,2021,SCIENCE,4,1,WITHDRAWN,2.77
S20220003,2022,ENGINEERING,4,2,ENROLLED,2.47
S20240014,2024,SCIENCE,2,2,ENROLLED,3.13
S20230012,2023,LITERATURE,3,1,LEAVE,2.85
S20220004,2022,MEDICAL,4,2,ENROLLED,3.53
S20220005,2022,LITERATURE,4,2,WITHDRAWN,2.46
S20200007,2020,ECONOMICS,4,1,GRADUATED,3.64
S20180006,2018,ENGINEERING,4,1,GRADUATED,3.12
S20210011,2021,LITERATURE,4,2,GRADUATED,3.3
S20190011,2019,ECONOMICS,4,2,GRADUATED,3.31
S20210012,2021,SCIENCE,4,1,GRADUATED,3.13
S20240015,2024,LITERATURE,2,9,WITHDRAWN,3.26
S20190012,2019,MEDICAL,6,1,GRADUATED,3.51
S20180007,2018,ECONOMICS,4,1,ENROLLED,3.87
S20200008,2020,LITERATURE,4,1,GRADUATED,2.83
S20200009,2020,SCIENCE,4,2,GRADUATED,2.95
S20230013,2023,LITERATURE,3,1,ENROLLED,2.71
S20220006,2022,SCIENCE,4,2,ENROLLED,3.12
S20240016,2024,LITERATURE,2,1,ENROLLED,2.79
S20230014,2023,ENGINEERING,3,1,ENROLLED,1.87
S20210013,2021,MEDICAL,5,2,ENROLLED,3.4
S20240017,2024,MEDICAL,2,2,ENROLLED,3.67
S20190013,2019,ECONOMICS,4,2,GRADUATED,2.93
S20180008,2018,MEDICAL,6,1,GRADUATED,3.72
S20180009,2018,ECONOMICS,4,1,GRADUATED,3.83
S20230015,2023,ECONOMICS,3,2,ENROLLED,3.34
S20210014,2021,ECONOMICS,4,2,GRADUATED,3.44
S20190014,2019,LITERATURE,4,1,ENROLLED,2.8
S20220007,2022,LITERATURE,4,1,ENROLLED,2.81
S20190015,2019,ENGINEERING,4,2,GRADUATED,2.93
S20230016,2023,SCIENCE,3,1,ENROLLED,3.23
S20210015,2021,ENGINEERING,4,1,GRADUATED,2.44
S20210016,2021,ENGINEERING,4,2,GRADUATED,3.0
